ID,sex,Language,Name,Script,Family,Autotyp_Area,trial,Condition,match
DE_2040180,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2043127,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2043127,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2043880,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2043880,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2043986,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2043986,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2044122,M,DE,German,roman,IE,Europe,1,l,TRUE
DE_2044122,M,DE,German,roman,IE,Europe,2,r,TRUE
DE_2046800,F,DE,German,roman,IE,Europe,1,l,FALSE
DE_2046800,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2055195,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2055195,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2055406,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2055406,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2055806,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2055806,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2072116,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2072116,F,DE,German,roman,IE,Europe,2,r,TRUE
DE_2074160,F,AM,Armenian,different,IE,Greater Mesopotamia,1,r,TRUE
DE_2074160,F,AM,Armenian,different,IE,Greater Mesopotamia,2,l,TRUE
DE_2090015,M,DE,German,roman,IE,Europe,1,l,TRUE
DE_2090015,M,DE,German,roman,IE,Europe,2,r,TRUE
DE_2109173,F,DE,German,roman,IE,Europe,1,r,TRUE
DE_2109173,F,DE,German,roman,IE,Europe,2,l,TRUE
DE_2117137,F,DE,German,roman,IE,Europe,1,l,TRUE
DE_2117137,F,DE,German,roman,IE,Europe,2,r,TRUE
DK_2102760,F,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2102760,F,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2102868,F,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2102868,F,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2136830,M,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2136830,M,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2137122,F,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2137122,F,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2142486,M,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2142486,M,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2142540,F,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2142540,F,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2142882,F,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2142882,F,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2143010,M,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2143010,M,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2143222,F,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2143222,F,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2143457,F,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2143457,F,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2143615,F,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2143615,F,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2143723,M,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2143723,M,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2143829,M,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2143829,M,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2144114,F,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2144114,F,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2144894,F,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2144894,F,DK,Danish,roman,IE,Europe,2,l,FALSE
DK_2147661,M,DK,Danish,roman,IE,Europe,1,r,TRUE
DK_2147661,M,DK,Danish,roman,IE,Europe,2,l,TRUE
DK_2149822,M,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2149822,M,DK,Danish,roman,IE,Europe,2,r,TRUE
DK_2149901,M,DK,Danish,roman,IE,Europe,1,l,TRUE
DK_2149901,M,DK,Danish,roman,IE,Europe,2,r,TRUE
EE_2051870,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2051870,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2054453,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2054453,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2056161,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2056161,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2056593,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2056593,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2056729,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,l,TRUE
EE_2056729,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,r,TRUE
EE_2056747,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2056747,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2056947,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2056947,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2057308,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2057308,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,FALSE
EE_2057346,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,l,TRUE
EE_2057346,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,r,TRUE
EE_2057447,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,TRUE
EE_2057447,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,2,l,TRUE
EE_2057608,F,EE,Estonian,roman,Finno-Ugric,Inner Asia,1,r,FALSE
